,Title,PublishedAt,Views,Likes,Comments,Month
147,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05T15:00:09Z,14336,601,89,Aug
148,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03T15:00:08Z,4880,187,56,Aug
149,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31T14:30:01Z,11302,579,90,Jul
150,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30T01:00:10Z,2307,116,34,Jul
151,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27T15:00:30Z,5568,252,112,Jul
152,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24T15:00:11Z,8176,247,199,Jul
153,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22T15:00:05Z,1850,98,27,Jul
154,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20T15:00:08Z,28813,562,90,Jul
155,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17T16:00:05Z,315044,7062,419,Jul
156,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16T02:00:09Z,30142,1124,121,Jul
157,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13T16:00:01Z,3614,135,50,Jul
158,The Best Computer for Data Science Beginners,2020-07-10T16:00:09Z,37130,846,157,Jul
159,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08T21:00:09Z,6149,229,82,Jul
160,Critiquing MY OWN Data Science Resume,2020-07-06T16:00:30Z,12570,396,88,Jul
161,Where to Start Learning Data Science,2020-07-03T16:00:04Z,18600,782,126,Jul
162,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01T15:00:12Z,4100,197,37,Jul
163,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29T15:00:08Z,4559,178,52,Jun
164,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26T15:00:10Z,16071,546,79,Jun
165,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22T13:00:03Z,2399,82,40,Jun
166,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20T02:09:18Z,2380,139,49,Jun
167,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15T13:00:12Z,4324,168,46,Jun
168,Why You're Struggling to Learn Data Science,2020-06-12T13:00:17Z,15206,1009,159,Jun
